NASA PHOTO NO.|photo_num|mag_number|mag_code|film_type|revolution_num|alt_km|sun_elevation|lens_mm|camera_tilt|camera_azimuth|principal_lat|principal_long|description
145-22258|22258|145|D|SO-368|52|||60||||57.5 E|SIM BAY INSPECTION, PICARD J
145-22260|22260|145|D|SO-368|52|||60||||57.0 E|SIM BAY INSPECTION, PICARD H
145-22261|22261|145|D|SO-368|52|||60||||53.0 E|SIM BAY INSPECTION, TARUNTIUS A
145-22262|22262|145|D|SO-368|52|||60||||53.0 E|SIM BAY INSPECTION, TARUNTIUS A, N OF
147-22463|22463|147|A|SO-368|12|031|31|60|67|282|19.4 N|50.5 E|CSM VIEWED FROM LM, PEIRCE C
148-22767|22767|148|NN|SO-368|66|112|80|250|63|299|09.6 N|55.4 E|PICARD G, H, LICK
148-22768|22768|148|NN|SO-368|66|112|79|250|62|300|09.9 N|54.8 E|PICARD G, H, LICK
148-22769|22769|148|NN|SO-368|66|112|77|250|37|005|12.3 N|53.3 E|LICK, A
149-22788|22788|149|KK|SO-368|01|209|30|80|53|216|09.9 N|58.8 E|PICARD X, CRISES, SEA OF
149-22789|22789|149|KK|SO-368|01|222|25|80|36|211|14.5 N|54.8 E|PICARD, LICK, YERKES
149-27790|27790|149|KK|SO-368|01|224|24|80|22|245|18.2 N|53.3 E|PEIRCE, YERKES
149-22791|22791|149|KK|SO-368|01|225|25|80|34|195|14.4 N|54.7 E|PICARD, LICK, YERKES
149-22793|22793|149|KK|SO-368|01|229|21|80|35|217|15.2 N|50.1 E|PROCLUS, LICK, YERKES, GLAISHER
150-23034|23034|150|LL|SO-368|28|118|55|80|19|191|13.4 N|59.5 E|PICARD Y
150-23035|23035|150|LL|SO-368|28|118|54|80|12|197|14.2 N|58.3 E|PICARD Y, W OF
150-23036|23036|150|LL|SO-368|28|118|53|80|10|197|14.6 N|57.4 E|PICARD Z
150-23037|23037|150|LL|SO-368|28|117|52|80|12|198|14.7 N|55.9 E|PICARD, Z
150-23038|23038|150|LL|SO-368|28|117|51|80|13|193|14.8 N|55.3 E|PICARD
150-23039|23039|150|LL|SO-368|28|117|51|80|13|195|14.8 N|54.7 E|PICARD
150-23040|23040|150|LL|SO-368|28|117|50|80|13|193|14.7 N|53.5 E|PICARD, YERKES, LICK O
150-23041|23041|150|LL|SO-368|28|116|48|80|23|182|14.6 N|52.3 E|YERKES, LICK, O
150-23042|23042|150|LL|SO-368|28|116|47|80|22|187|14.9 N|51.2 E|YERKES, E
150-23043|23043|150|LL|SO-368|28|116|47|80|19|189|15.3 N|50.5 E|YERKES, E, GLAISHER X
153-23431|23431|153|MM|SO-368|29|118|55|250|32|352|16.9 N|59.9 E|CRISES, SEA OF
153-23432|23432|153|MM|SO-368|29|118|54|250|37|350|17.5 N|59.2 E|CRISES, SEA OF
153-23433|23433|153|MM|SO-368|29|118|54|250|38|345|17.7 N|58.4 E|CRISES, SEA OF
153-23434|23434|153|MM|SO-368|29|118|53|250|38|350|17.9 N|58.2 E|CRISES, SEA OF
153-23435|23435|153|MM|SO-368|29|118|53|250|39|354|18.2 N|57.8 E|CRISES, SEA OF
153-23436|23436|153|MM|SO-368|29|117|52|250|42|354|18.7 N|57.3 E|CRISES, SEA OF
153-23437|23437|153|MM|SO-368|29|117|53|250|42|356|18.8 N|57.8 E|CRISES, SEA OF
153-23438|23438|153|MM|SO-368|29|117|52|250|38|355|18.4 N|56.5 E|CRISES, SEA OF
153-23439|23439|153|MM|SO-368|29|117|51|250|40|355|18.7 N|55.7 E|CRISES, SEA OF
153-23440|23440|153|MM|SO-368|29|117|50|250|40|352|18.8 N|55.3 E|PEIRCE B, E OF
153-23441|23441|153|MM|SO-368|29|117|50|250|41|353|19.0 N|55.0 E|PEIRCE B, E OF
153-23442|23442|153|MM|SO-368|29|117|50|250|41|356|19.1 N|54.6 E|PEIRCE B, E OF
153-23443|23443|153|MM|SO-368|29|117|49|250|44|353|19.6 N|54.1 E|PEIRCE B, E OF
153-23444|23444|153|MM|SO-368|29|117|49|250|44|356|19.8 N|53.9 E|PEIRCE B, E OF
153-23445|23445|153|MM|SO-368|29|117|48|250|44|356|19.8 N|53.5 E|PEIRCE B, E OF
153-23446|23446|153|MM|SO-368|29|116|48|250|44|357|19.9 N|53.1 E|PEIRCE B, E OF
153-23447|23447|153|MM|SO-368|29|116|48|250|44|358|20.0 N|52.7 E|PEIRCE B, W OF
153-23448|23448|153|MM|SO-368|29|116|47|250|44|358|20.0 N|52.3 E|PEIRCE C, W OF
153-23449|23449|153|MM|SO-368|29|116|47|250|44|358|20.1 N|51.9 E|PEIRCE C, W OF
153-23450|23450|153|MM|SO-368|29|116|47|250|42|360|20.0 N|51.5 E|PEIRCE C, W OF
153-23451|23451|153|MM|SO-368|29|116|46|250|41|349|19.8 N|50.5 E|PEIRCE C
153-23452|23452|153|MM|SO-368|29|116|46|250|46|003|20.7 N|51.0 E|TISSERAND A, E OF
153-23453|23453|153|MM|SO-368|29|116|45|250|52|001|21.9 N|50.5 E|TISSERAND A, N OF, MACROBIUS S
153-23454|23454|153|MM|SO-368|29|116|45|250|53|001|22.1 N|50.2 E|TISSERAND A, N OF, MACROBIUS S
145-22263|22263|145|D|SO-368|52|112|61|60|47|187|13.0 N|41.9 E|LYELL, PROCLUS A, CAUCHY
149-22792|22792|149|KK|SO-368|01|228|18|80|58|208|05.0 N|46.3 E|TARUNTIUS, A, GLAISHER
149-22794|22794|149|KK|SO-368|01|233|17|80|37|227|15.6 N|46.4 E|PROCLUS, GLAISHER
150-23044|23044|150|LL|SO-368|28|116|46|80|18|182|15.5 N|49.6 E|YERKES E, GLAISHER X, PROCLUS P
150-23045|23045|150|LL|SO-368|28|115|44|80|12|188|16.2 N|48.4 E|GLAISHER X, PROCLIJS, P
150-23046|23046|150|LL|SO-368|28|115|44|80|16|185|16.1 N|47.7 E|GLAISHER X, PROCLUS, P
150-23047|23047|150|LL|SO-368|28|115|42|80|18|185|16.2 N|46.1 E|PROCLUS, F, R
150-23048|23048|150|LL|SO-368|28|114|42|80|20|188|16.2 N|45.3 E|PROCLUS, W RIM, J, R
150-23049|23049|150|LL|SO-368|28|114|40|80|17|190|16.6 N|43.4 E|PROCLUS J, LYELL D
150-23050|23050|150|LL|SO-368|28|114|39|80|13|183|17.1 N|42.4 E|PROCLUS D, E
150-23051|23051|150|LL|SO-368|28|114|38|80|16|182|17.0 N|41.9 E|PROCLUS D, E, FRANZ
150-23052|23052|150|LL|SO-368|28|113|37|80|12|194|17.5 N|40.8 E|PROCLUS D, E, FRANZ
153-23455|23455|153|MM|SO-368|29|115|45|250|39|355|19.9 N|49.2 E|TISSERAND A
153-23456|23456|153|MM|SO-368|29|115|44|250|36|353|19.7 N|48.7 E|TISSERAND A, SW RIM
153-23457|23457|153|MM|SO-368|29|115|44|250|36|352|19.8 N|48.2 E|TISSERAND, S OF
153-23458|23458|153|MM|SO-368|29|115|43|250|36|353|19.8 N|47.7 E|TISSERAND, S OF
153-23459|23459|153|MM|SO-368|29|115|43|250|38|359|20.1 N|47.6 E|TISSERAND, S OF
153-23460|23460|153|MM|SO-368|29|115|43|250|42|356|20.7 N|47.0 E|MACROBIUS, SE WALL
153-23461|23461|153|MM|SO-368|29|115|42|250|45|354|21.1 N|46.5 E|MACROBIUS
153-23462|23462|153|MM|SO-368|29|115|42|250|42|349|20.7 N|45.8 E|MACROBIUS
153-23463|23463|153|MM|SO-368|29|115|41|250|42|352|20.9 N|45.8 E|MACROBIUS
153-23464|23464|153|MM|SO-368|29|115|40|250|50|345|22.0 N|44.5 E|MACROBIUS, W WALL
153-23465|23465|153|MM|SO-368|29|114|40|250|47|355|21.7 N|44.9 E|MACROBIUS, W WALL
153-23466|23466|153|MM|SO-368|29|114|40|250|46|353|21.6 N|44.3 E|MACROBIUS, W OF
153-23467|23467|153|MM|SO-368|29|114|39|250|41|343|20.9 N|43.3 E|MACROBIUS, W OF
153-23468|23468|153|MM|SO-368|29|114|39|250|48|354|22.2 N|43.3 E|MACROBIUS, W OF
153-23469|23469|153|MM|SO-368|29|114|39|250|48|357|22.2 N|43.1 E|MACROBIUS, W OF
153-23470|23470|153|MM|SO-368|29|114|37|250|50|350|22.5 N|41.9 E|MACROBIUS B, 4 OF
153-23471|23471|153|MM|SO-368|29|114|37|250|47|345|22.1 N|41.3 E|MACROBIUS B
153-23472|23472|153|MM|SO-368|29|114|38|250|48|353|22.4 N|41.9 E|MACROBIUS B, N OF
153-23473|23473|153|MM|SO-368|29|113|36|250|52|353|23.2 N|40.8 E|MACROBIUS M
153-23474|23474|153|MM|SO-368|29|113|36|250|55|353|23.9 N|40.2 E|MACROBIUS M, ROMER U, V
154-23599|23599|154|QQ|2485|01|243|18|80|28|155|16.0 N|47.2 E|PROCLUS, P, R, S, U, GLAISHER, E, W
139-21277|21277|139|K|3401|62|112|57|60|68|298|20.4 N|31.6 E|MARALDI, APOLLO 17 LANDING SITE
139-21278|21278|139|K|3401|62|112|51|60|65|301|20.6 N|30.8 E|MARALDI, APOLLO 17 LANDING SITE
139-21279|21279|139|K|3401|62|112|51|60|59|303|20.0 N|30.8 E|MARALDI, APOLLO 17 LANDING SITE
139-21280|21280|139|K|3401|62|112|57|60|54|308|20.0 N|31.0 E|VITRUVIUS, APOLLO 17 LANDING SITE
139-21281|21281|139|K|3401|62|112|57|60|47|319|20.2 N|31.1 E|VITRUVIUS, APOLLO 17 LANDING SITE
139-21282|21282|139|K|3401|62|113|57|60|33|006|20.9 N|30.8 E|LITTROW, APOLLO 17 LANDING SITE
139-21312|21312|139|K|3401|73|112|78|60|31|210|09.4 N|39.7 E|CAUCHY, TRANQUILITY, SEA OF
139-21313|21313|139|K|3401|73|112|77|60|29|206|09.8 N|39.0 E|CAUCHY, TRANQUILITY, SEA OF
139-21314|21314|139|K|3401|73|112|77|60|31|217|10.0 N|38.1 E|CAUCHY, TRANQUILITY, SEA OF
139-21315|21315|139|K|3401|73|112|76|60|34|225|10.2 N|37.0 E|CAUCHY, TRANOUILITY, SEA OF
139-21316|21316|139|K|3401|73|112|75|60|38|230|10.2 N|36.2 E|CAUCHY SCARP, TRANQUILITY, SEA OF
139-21317|21317|139|K|3401|73|112|74|60|36|228|10.7 N|35.3 E|CAUCHY SCARP, TRANQUILITY, SEA OF
139-21318|21318|139|K|3401|73|112|75|60|17|182|11.4 N|37.4 E|CAUCHY A, TRANQUILITY, SEA OF
139-21319|21319|139|K|3401|73|112|75|60|13|182|11.8 N|37.0 E|CAUCHY A, TRANQUILITY, SEA OF
139-21320|21320|139|K|3401|73|112|74|60|82|225|10.6 N|34.7 E|SINAS, TRANQUILITY, SEA OF
139-21321|21321|139|K|3401|73|112|74|60|38|277|10.8 N|34.3 E|SINAS, TRANQUILITY, SEA OF
147-22464|22464|147|A|SO-368|12|026|12|60|60|275|20.3 N|30.3 E|CSM, APOLLO 17 LANDING SITE
147-22465|22465|147|A|SO-368|12|026|12|60|69|277|20.4 N|30.2 E|CSM, APOLLO 17 LANDING SITE
148-22770|22770|148|NN|SO-368|66|112|60|250|67|301|20.0 N|30.5 E|APOLLO 17 LANDING SITE
150-22996|22996|150|LL|SO-368|25|113|28|250|05|000|19.7 N|34.8 E|MARALDI
150-22997|22997|150|LL|SO-368|25|113|28|250|07|000|19.8 N|34.6 E|MARALDI
150-22998|22998|150|LL|SO-368|25|113|28|250|07|000|19.8 N|34.4 E|MARALDI
150-22999|22999|150|LL|SO-368|25|113|27|250|04|355|19.7 N|33.3 E|MARALDI, W OF
150-23000|23000|150|LL|SO-368|25|112|23|250|07|358|19.0 N|32.7 E|MARALDI, W OF
150-23001|23001|150|LL|SO-368|25|112|26|250|09|004|20.1 N|32.2 E|APOLLO 17 LANDING SITE, E OF
