NASA PHOTO NO.|photo_num|mag_number|mag_code|film_type|revolution_num|alt_km|sun_elevation|lens_mm|camera_tilt|camera_azimuth|principal_lat|principal_long|description
158-23869|23869|158|WW|2485|17|104||55|25|166|14.3 N|11.8 W|ERATOSTHENES (EARTHSHINE)
158-23870|23870|158|WW|2485|17|104||55|24|165|14.4 N|11.9 W|ERATOSTHENES (EARTHSHINE)
158-23871|23871|158|WW|2485|17|104||55|25|159|14.3 N|11.8 W|ERATOSTHENES (EARTHSHINE)
158-23872|23872|158|WW|2485|17|104||55|22|159|14.4 N|11.9 W|ERATOSTHENES (EARTHSHINE)
158-23873|23873|158|WW|2485|17|104||55|30|131|14.5 N|10.8 W|ERATOSTHENES (EARTHSHINE)
158-23881|23881|158|WW|2485|17|103||55|49|181|09.9 N|19.9 W|COPERNICUS (EARTHSHINE)
160-23947|23947|160|YY|2485|42|103|02|55|51|341|23.9 N|10.7 W|RAINS, SEA OF, TIMOCHARIS, E WALL
139-21287|21287|139|K|3401|65|114|16|60|68|201|10.0 N|20.0 W|COPERNICUS, RAINS, SEA OF
139-21288|21288|139|K|3401|65|114|15|60|68|201|10.0 N|20.2 W|COPERNICUS, RAINS, SEA OF
139-21289|21289|139|K|3401|65|115|14|60|62|166|14.6 N|21.7 W|COPERNICUS, RAINS, SEA OF
139-21290|21290|139|K|3401|65|115|11|60|60|180|15.1 N|24.0 W|COPERNICUS, RAINS, SEA OF
139-21291|21291|139|K|3401|65|115|09|60|55|191|16.9 N|26.8 W|TOBIAS MAYER, RAINS, SEA OF
139-21292|21292|139|K|3401|65|115|07|60|48|187|18.0 N|28.6 W|TOBIAS MAYER, RAINS, SEA OF
139-21297|21297|139|K|3401|66|115|07|60|16|318|23.4 N|29.4 W|EULER
145-22287|22287|145|D|SO-368|52|||60||||20.0 W|COPERNICUS, STADIUS RILLS
149-22933|22933|149|KK|SO-368|65|115|14|80|06|358|23.5 N|20.1 W|LAMBERT R
149-22934|22934|149|KK|SO-368|65|115|14|80|06|000|23.5 N|20.4 W|LAMBERT R
149-22935|22935|149|KK|SO-368|65|115|14|80|09|358|23.5 N|20.3 W|LAMBERT R
149-22936|22936|149|KK|SO-368|65|115|13|80|05|357|23.4 N|21.2 W|LAMBERT R
149-22937|22937|149|KK|SO-368|65|115|13|80|05|358|23.4 N|21.5 W|LAMBERT R
149-22938|22938|149|KK|SO-368|65|115|13|80|05|358|23.3 N|21.9 W|LAMBERT R
149-22939|22939|149|KK|SO-368|65|115|12|80|07|011|23.5 N|22.2 W|LAMBERT R
149-22940|22940|149|KK|SO-368|65|115|12|80|04|004|23.3 N|22.3 W|LAMBERT R
149-22941|22941|149|KK|SO-368|65|115|11|80|04|352|23.2 N|23.5 W|LAMBERT R, W OF
151-23266|23266|151|OO|SO-368|64|114|15|250|68|188|09.8 N|20.2 W|GAY-LUSSAC, A, COPERNICUS
151-23268|23268|151|OO|SO-368|65|115|06|80|45|234|20.3 N|29.3 W|EULER P
151-23269|23269|151|OO|SO-368|65|115|08|80|39|182|19.4 N|27.0 W|TOBIAS MAYER, A, G, P
155-23706|23706|155|RR|2485|62|114|08|250|29|170|20.5 N|24.2 W|PYTHEAS BETA
155-23707|23707|155|RR|2485|62|114|08|250|31|170|20.3 N|24.2 W|PYTHEAS BETA
155-23708|23708|155|RR|2485|62|114|08|250|33|169|20.1 N|24.2 W|PYTHEAS BETA
155-23709|23709|155|RR|2485|62|114|08|250|36|169|19.8 N|24.2 W|PYTHEAS BETA
155-23710|23710|155|RR|2485|62|114|08|250|38|169|19.6 N|24.2 W|PYTHEAS BETA
155-23711|23711|155|RR|2485|62|114|08|250|40|168|19.3 N|24.2 W|PYTHEAS BETA, SW OF
155-23712|23712|155|RR|2485|62|114|02|250|64|353|31.9 N|29.7 W|LA HIRE D, C, HERSCHEL
155-23713|23713|155|RR|2485|62|114|03|250|59|358|29.4 N|29.5 W|LA HIRE D
155-23714|23714|155|RR|2485|62|114|02|250|52|358|27.4 N|29.9 W|LA HIRE C, W OF
155-23726|23726|155|RR|2485|66|115|13|250|61|178|14.7 N|23.1 W|GAY-LUSSAC C, CARPATHIAN MOUNTAINS
155-23727|23727|155|RR|2485|66|115|12|250|06|174|22.6 N|23.5 W|PYTHEAS W, N OF
155-23728|23728|155|RR|2485|66|115|12|250|57|184|16.4 N|24.2 W|CARPATHIAN MOUNTAINS
155-23729|23729|155|RR|2485|66|115|08|250|52|328|27.3 N|28.1 W|LA HIRE C, RILLE I I
155-23730|23730|155|RR|2485|66|115|08|250|48|335|27.0 N|27.1 W|LA HIRE C, RILLE I I
155-23731|23731|155|RR|2485|66|115|07|250|37|319|25.1 N|28.7 W|EULER H
155-23732|23732|155|RR|2485|66|115|09|250|66|183|11.2 N|28.0 W|TOBIAS MAYER D, P
155-23733|23733|155|RR|2485|66|115|07|250|66|186|11.3 N|29.4 W|TOBIAS MAYER, A, P, MILICHIUS
155-23734|23734|155|RR|2485|66|115|07|250|48|185|18.0 N|28.9 W|CARPATHIAN MOUNTAINS
155-23736|23736|155|RR|2485|66|115|07|250|48|169|18.1 N|28.9 W|CARPATHIAN MOUNTAINS
155-23739|23739|155|RR|2485|66|115|07|250|66|170|11.1 N|29.9 W|TOBIAS MAYER P, MILICHIUS
158-23879|23879|158|WW|2485|17|103||55|49|187|09.9 N|20.1 W|COPERNICUS (EARTHSHINE)
158-23880|23880|158|WW|2485|17|103||55|49|190|10.0 N|20.5 W|COPERNICUS (EARTHSHINE)
158-23882|23882|158|WW|2485|17|102||55|43|178|10.1 N|22.0 W|COPERNICUS, W OF (EARTHSHINE)
160-23979|23979|160|YY|2485|63|114|11|55|21|348|24.4 N|21.8 W|LAMBERT, SW WALL
160-23981|23981|160|YY|2485|64|114|06|55|57|203|16.5 N|28.9 W|TOBIAS MAYER, A, B, G, P
160-23982|23982|160|YY|2485|64|115|05|55|53|206|17.9 N|29.9 W|TOBIAS MAYER, A, B, P
160-23991|23991|160|YY|2485|67|116|10|55|54|144|17.3 N|27.4 W|TOBIAS MAYER, A, C
139-21293|21293|139|K|3401|65|115|04|60|57|209|16.9 N|31.5 W|TOBIAS MAYER, RAINS, SEA OF
139-21294|21294|139|K|3401|65|115|05|60|54|190|16.7 N|30.3 W|TOBIAS MAYER, RAINS, SEA OF
139-21295|21295|139|K|3401|65|115|03|60|54|202|17.1 N|32.3 W|TOBIAS MAYER, RAINS, SEA OF
155-23715|23715|155|RR|2485|62|114|02|250|47|354|26.4 N|30.2 W|LA HIRE C, SW OF
155-23716|23716|155|RR|2485|62|114|02|250|42|349|25.6 N|30.6 W|EULER H, W OF
155-23717|23717|155|RR|2485|62|114|01|250|32|352|24.3 N|31.5 W|EULER, NW OF
155-23718|23718|155|RR|2485|62|114|01|250|27|355|23.9 N|31.5 W|EULER, W OF
155-23719|23719|155|RR|2485|62|114|01|250|01|001|22.0 N|31.4 W|EULERJ
155-23720|23720|155|RR|2485|62|114|00|250|12|215|21.1 N|32.6 W|EULER K, W OF
155-23721|23721|155|RR|2485|62|114|00|250|10|308|22.2 N|32.8 W|EULER BETA
155-23722|23722|155|RR|2485|62|114|00|250|28|348|23.7 N|32.8 W|EULER BETA, N OF
155-23723|23723|155|RR|2485|62|115|00|250|36|009|24.6 N|32.3 W|EULER E, E OF
155-23724|23724|155|RR|2485|62|115|00|250|45|353|25.7 N|33.4 W|EULER E, N
155-23725|23725|155|RR|2485|62|115|00|250|60|359|29.1 N|33.1 W|DIOPHANTUS B, DELISLE
155-23735|23735|155|RR|2485|66|115|06|250|24|193|20.8 N|30.1 W|EULER DELTA
155-23737|23737|155|RR|2485|66|115|03|250|50|321|26.3 N|33.2 W|DIOPHANTUS, SE RIM
155-23738|23738|155|RR|2485|66|115|05|250|32|180|19.8 N|31.8 W|EULER P, W WALL
155-23740|23740|155|RR|2485|66|115|06|250|57|171|15.6 N|30.9 W|TOBIAS MAYER B, P
155-23741|23741|155|RR|2485|66|115|01|250|49|320|26.0 N|35.6 W|DIOPHANTUS D
155-23742|23742|155|RR|2485|66|116|02|250|05|324|22.3 N|34.8 W|EULER BETA, W OF
155-23743|23743|155|RR|2485|66|116|02|250|14|146|21.2 N|34.1 W|BRAYLEY B
155-23744|23744|155|RR|2485|66|116|03|250|42|157|18.7 N|33.3 W|TOBIAS MAYER RHO
155-23745|23745|155|RR|2485|66|116|04|250|67|172|09.2 N|33.1 W|KEPLER P, GAMMA, MILICHIUS A
155-23746|23746|155|RR|2485|66|116|01|250|67|181|09.2 N|35.7 W|KEPLER A, B
155-23747|23747|155|RR|2485|66|116|01|250|59|181|14.7 N|35.8 W|BESSARION V
155-23748|23748|155|RR|2485|66|116|01|250|46|182|17.5 N|35.9 W|TOBIAS MAYER W, W WALL
155-23749|23749|155|RR|2485|66|116|01|250|16|171|20.7 N|35.7 W|BRAYLEY, E OF
155-23750|23750|155|RR|2485|66|116|01|250|05|336|22.1 N|36.1 W|BRAYLEY, NE OF
155-23751|23751|155|RR|2485|66|116|00|250|34|166|19.1 N|36.5 W|BRAYLEY, S OF
155-23755|23755|155|RR|2485|74|118|08|250|30|219|21.0 N|35.7 W|BRAYLEY ALPHA
155-23756|23756|155|RR|2485|74|118|08|250|38|217|20.1 N|36.0 W|BRAYLEY, E OF
155-23757|23757|155|RR|2485|74|118|09|250|25|216|21.3 N|35.5 W|BRAYLEY ALPHA
155-23758|23758|155|RR|2485|74|118|07|250|13|227|20.0 N|36.7 W|BRAYLEY, E OF
155-23759|23759|155|RR|2485|74|118|07|250|18|220|21.7 N|37.0 W|BRAYLEY
155-23760|23760|155|RR|2485|74|118|07|250|23|217|21.3 N|37.3 W|BRAYLEY
155-23761|23761|155|RR|2485|74|118|08|250|22|172|21.1 N|36.1 W|BRAYLEY, E WALL
155-23762|23762|155|RR|2485|74|118|06|250|36|220|20.3 N|38.6 W|BRAYLEY C, SE OF
155-23763|23763|155|RR|2485|74|118|05|250|39|224|20.2 N|39.1 W|BRAYLEY C, SE OF
155-23764|23764|155|RR|2485|74|118|05|250|41|227|20.2 N|39.6 W|BRAYLEY C, S OF
155-23765|23765|155|RR|2485|74|118|05|250|40|230|20.4 N|39.8 W|BRAYLEY C, S OF
157-23842|23842|157|VV|2485|73|118|05|55|32|246|21.5 N|38.5 W|BRAYLEY C
157-23843|23843|157|VV|2485|73|118|10|55|58|170|15.7 N|33.8 W|TOBIAS MAYER B, W, MILICHIUS A
157-23844|23844|157|VV|2485|73|118|05|55|57|212|17.0 N|38.3 W|BESSARION, A, B, C, E
157-23845|23845|157|VV|2485|73|117|04|55|55|308|24.3 N|39.1 W|PRINZ, E OF
157-23846|23846|157|VV|2485|73|117|05|55|56|321|26.7 N|37.9 W|DIOPHANTUS, W OF, ANGSTROM
157-23847|23847|157|VV|2485|73|117|06|55|56|319|27.8 N|36.3 W|DIOPHANTUS, DELISLE, ANGSTROM
160-23980|23980|160|YY|2485|63|114|03|55|53|287|24.2 N|30.7 W|EULER, E, DIOPHANTUS
160-23983|23983|160|YY|2485|64|115|03|55|44|241|20.5 N|31.4 W|EULER P, BRAYLEY B, D
160-23992|23992|160|YY|2485|67|116|06|55|48|128|19.1 N|31.2 W|EULER P, BRAYLEY D
160-23993|23993|160|YY|2485|67|116|04|55|57|150|15.8 N|33.4 W|TOBIAS MAYER B, W
160-23994|23994|160|VY|2485|67|116|02|55|60|156|14.5 N|35.8 W|TOBIAS MAYER W, BESSARION, E
160-23995|23995|160|YY|2485|67|116|00|55|61|122|16.0 N|37.6 W|TOBIAS MAYER W, BESSARION, E
155-23766|23766|155|RR|2485|74|118|03|250|49|185|17.3 N|41.5 W|BESSARION B
155-23767|23767|155|RR|2485|74|118|01|250|45|206|18.5 N|43.3 W|BESSARION B, NW OF
155-23768|23768|155|RR|2485|74|118|00|250|23|243|21.2 N|44.4 W|ARISTARCHUS F, E OF
155-23769|23769|155|RR|2485|74|118|01|250|67|184|08.8 N|43.9 W|KEPLER CA
155-23770|23770|155|RR|2485|74|118|02|250|66|178|10.1 N|42.7 W|KEPLER C, CA, PI
155-23771|23771|155|RR|2485|74|118|03|250|66|172|09.6 N|41.6 W|KEPLER C, CA, KAPPA, PI
155-23772|23772|155|RR|2485|74|118|00|250|09|221|21.3 N|44.4 W|ARISTARCHUS F, E OF
155-23773|23773|155|RR|2485|74|118|01|250|06|350|22.2 N|44.1 W|ARISTARCHUS F, NE OF
155-23774|23774|155|RR|2485|74|118|01|250|45|144|18.1 N|43.6 W|BESSARION B, NW OF
155-23775|23775|155|RR|2485|74|119|00|250|49|147|17.3 N|44.4 W|BESSARION B, W OF
155-23776|23776|155|RR|2485|74|119|01|250|68|167|07.6 N|44.0 W|MARIUS D, DA
158-23897|23897|158|WW|2485|17|98|55|58|320|7.7 N|58.8 W|REINER GAMMA (EARTHSHINE)|
158-23893|23893|158|WW|2485|17|||55||||75.5 W|REINER, OVEREXPOSED (EARTHSHINE)
158-23894|23894|158|WW|2485|17|||55||||75.2 W|REINER, OVEREXPOSED (EARTHSHINE)
158-23895|23895|158|WW|2485|17|||55||||79.0 W|REINER GAMMA, OVEREXPOSED (EARTHSHINE)
161-24003|24003|161|ZZ|2485|16|97||55|36|278|01.7 S|70.5 W|RICCIOLI, D, G (EARTHSHINE)
161-24004|24004|161|ZZ|2485|16|97||55|35|283|01.8 S|71.2 W|RICCIOLI, D, G (EARTHSHINE)
161-24005|24005|161|ZZ|2485|16|97||55|41|295|01.3 S|72.2 W|RICCIOLI, D, G (EARTHSHINE)
161-24006|24006|161|ZZ|2485|16|97||55|34|332|00.6 S|70.7 W|RICCIOLI, E RIM, G (EARTHSHINE)
161-24007|24007|161|ZZ|2485|16|97||55|23|333|01.4 S|70.5 W|RICCIOLI, E RIM, G (EARTHSHINE)
161-24008|24008|161|ZZ|2485|16|97||55|52|288|01.4 S|74.4 W|RICCIOLI, D, K (EARTHSHINE)
161-24009|24009|161|ZZ|2485|16|97||55|54|293|01.2 S|75.8 W|RICCIOLI, D, K (EARTHSHINE)
161-24010|24010|161|ZZ|2485|16|97||55|62|264|04.3 S|79.3 W|HARTWIG, A, SCHLUTER (EARTHSHINE)
161-24011|24011|161|ZZ|2485|16|97||55|39|273|03.6 S|75.6 W|RICCIOLI, D, SW RIM (EARTHSHINE)
158-23901|23901|158|WW|2485|17|98||55|59|203|11.8 S|83.0 W|SCHLUTER A, ROOK MOUNTAINS (EARTHSHINE)
158-23902|23902|158|WW|2485|17|98||55|61|181|13.5 S|82.2 W|ROOK, CORDED MOUNTAINS (EARTHSHINE)
158-23903|23903|158|WW|2485|17|98||55|58|177|14.5 S|87.4 W|KOPFF, ROOK MOUNTAINS (EARTHSHINE)
161-24013|24013|161|ZZ|2485|16|97||55|62|257|06.2 S|82.2 W|HARTWIG, SCHLUTER (EARTHSHINE)
161-24014|24014|161|ZZ|2485|16|98||55|44|285|05.4 S|83.2 W|SCHLUTER (EARTHSHINE)
161-24016|24016|161|ZZ|2485|16|98||55|60|203|14.5 S|89.7 W|EASTERN SEA, KOPFF, HOHMANN (EARTHSHINE)
161-24015|24015|161|ZZ|2485|16|98||55|62|257|9.1 S|90.7 W|ROOK MOUNTAINS (EARTHSHINE)
