NASA PHOTO NO. AS17-|photo_num|mag_number|mag_code|film_type|sun_elevation|lens_mm|EVA|DESCRIPTION|||
147-22505|22505|147|A|SO-368|15|60|1|STA LM, PAN|||
147-22506|22506|147|A|SO-368|15|60|1|STA LM, PAN|||
147-22507|22507|147|A|SO-368|15|60|1|STA LM, PAN|||
147-22508|22508|147|A|SO-368|15|60|1|STA LM, PAN|||
147-22509|22509|147|A|SO-368|15|60|1|STA LM, PAN|||
147-22510|22510|147|A|SO-368|15|60|1|STA LM, PAN|||
147-22511|22511|147|A|SO-368|15|60|1|STA LM, PAN|||
147-22512|22512|147|A|SO-368|15|60|1|STA LM, PAN|||
147-22513|22513|147|A|SO-368|15|60|1|STA LM, PAN|||
147-22514|22514|147|A|SO-368|15|60|1|STA LM, PAN, LM QUAD 3|||
147-22515|22515|147|A|SO-368|15|60|1|STA LM, PAN, LM QUAD 3|||
147-22516|22516|147|A|SO-368|15|60|1|STA LM, PAN, LM QUAD 3|||
147-22517|22517|147|A|SO-368|15|60|1|STA LM, PAN, LM QUAD 3, 4|||
147-22518|22518|147|A|SO-368|15|60|1|STA LM, PAN, LM SHADOW|||
147-22519|22519|147|A|SO-368|15|60|1|STA LM, PAN, LM QUAD 4|||
147-22520|22520|147|A|SO-368|15|60|1|STA LM, PAN, LM SHADOW|||
147-22521|22521|147|A|SO-368|15|60|1|STA LM, PAN|||
147-22522|22522|147|A|SO-368|15|60|1|STA LM, CDR DRIVING LRV, LM QUAD 3|||
147-22523|22523|147|A|SO-368|15|60|1|STA LM, CDR DRIVING LRV, LM QUAD 3|||
147-22524|22524|147|A|SO-368|15|60|1|STA LM, CDR DRIVING LRV, LM QUAD 3|||
147-22525|22525|147|A|SO-368|15|60|1|STA LM, CDR DRIVING LRV, LM QUAD 3|||
147-22526|22526|147|A|SO-368|15|60|1|STA LM, CDR DRIVING LRV, LM QUAD 3|||
147-22527|22527|147|A|SO-368|15|60|1|STA LM, CDR DRIVING LRV, LM QUAD 3, 4|||
144-21983|21983|144|R|3401|16|500|1|STA LM, S MASSIF|||
144-21984|21984|144|R|3401|16|500|1|STA LM, S MASSIF|||
144-21985|21985|144|R|3401|16|500|1|STA LM, S MASSIF|||
144-21986|21986|144|R|3401|16|500|1|STA LM, S MASSIF|||
144-21987|21987|144|R|3401|16|500|1|STA LM, S MASSIF|||
144-21988|21988|144|R|3401|16|500|1|STA LM, S MASSIF|||
144-21989|21989|144|R|3401|16|500|1|STA LM, S MASSIF|||
144-21991|21991|144|R|3401|16|500|1|STA LM, BOULDER TRACKS ON N MASSIF|||
144-21992|21992|144|R|3401|16|500|1|STA LM, BOULDER TRACKS ON N MASSIF|||
144-21993|21993|144|R|3401|16|500|1|STA LM, BOULDER TRACKS ON N MASSIF|||
144-21994|21994|144|R|3401|16|500|1|STA LM, N MASSIF|||
144-21995|21995|144|R|3401|16|500|1|STA LM, N MASSIF|||
144-21996|21996|144|R|3401|16|500|1|STA LM, N MASSIF|||
144-21997|21997|144|R|3401|16|500|1|STA LM, N MASSIF|||
144-21998|21998|144|R|3401|16|500|1|STA LM, N MASSIF|||
134-20376|20376|134|B|SO-368|16|60|1|STA LM, LRV FLOOR|||
134-20377|20377|134|B|SO-368|16|60|1|STA LM, LM, LRV, FLAG, CDR|||
134-20378|20378|134|B|SO-368|16|60|1|STA LM, LM, LRV, FLAG, CDR|||
134-20379|20379|134|B|SO-368|16|60|1|STA LM, LM, LRV, FLAG, CDR|||
134-20380|20380|134|B|SO-368|16|60|1|STA LM, LM, LRV, FLAG, CDR|||
134-20381|20381|134|B|SO-368|16|60|1|STA LM, LM, LRV, FLAG, LMP|||
134-20382|20382|134|B|SO-368|16|60|1|STA LM, LM, LRV, FLAG, LMP|||
134-20383|20383|134|B|SO-368|16|60|1|STA LM, FLAG, CDR, EARTH|||
134-20384|20384|134|B|SO-368|16|60|1|STA LM, FLAG, LMP, EARTH|||
134-20385|20385|134|B|SO-368|16|60|1|STA LM, FLAG, CDR, SOUTH MASSIF|||
134-20386|20386|134|B|SO-368|16|60|1|STA LM, FLAG, CDR, LRV|||
134-20387|20387|134|B|SO-368|16|60|1|STA LM, FLAG, CDR, EARTH|||
134-20388|20388|134|B|SO-368|16|60|1|STA LM, LM FOOT PAD|||
134-20389|20389|134|B|SO-368|16|60|1|STA LM, FRONT OF LRV|||
147-22528|22528|147|A|SO-368|16|60|1|STA ALSEP, GEOPHONE, CENTRAL STATION|||
147-22529|22529|147|A|SO-368|16|60|1|STA ALSEP, NORTH MASSIF|||
147-22530|22530|147|A|SO-368|16|60|1|STA ALSEP, SCULPTURED HILLS|||
147-22531|22531|147|A|SO-368|16|60|1|STA ALSEP, CENTRAL STATION|||
147-22532|22532|147|A|SO-368|16|60|1|STA ALSEP, FAMILY MOUNTAIN|||
147-22533|22533|147|A|SO-368|16|60|1|STA ALSEP, GEOPHONE ROCK|||
147-22534|22534|147|A|SO-368|16|60|1|STA ALSEP, GEOPHONE ROCK|||
147-22535|22535|147|A|SO-368|16|60|1|STA ALSEP, GEOPHONE ROCK|||
147-22536|22536|147|A|SO-368|16|60|1|STA ALSEP, GEOPHONE ROCK|||
147-22537|22537|147|A|SO-368|16|60|1|STA ALSEP, GEOPHONE|||
147-22538|22538|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22539|22539|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22540|22540|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22541|22541|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22542|22542|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22543|22543|147|A|SO-368|16|60|1|STA ALSEP, PAN, GEOPHONE ROCK|||
147-22544|22544|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22545|22545|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22546|22546|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22547|22547|147|A|SO-368|16|60|1|STA ALSEP, PAN, GEOPHONE|||
147-22548|22548|147|A|SO-368|16|60|1|STA ALSEP, PAN, CENTRAL STATION|||
147-22549|22549|147|A|SO-368|16|60|1|STA ALSEP, CENTRAL STATION|||
147-22550|22550|147|A|SO-368|16|60|1|STA ALSEP, CENTRAL STATION|||
147-22551|22551|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22552|22552|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22553|22553|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22554|22554|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22555|22555|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22556|22556|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22557|22557|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22558|22558|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22559|22559|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22560|22560|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22561|22561|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22562|22562|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22563|22563|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22564|22564|147|A|SO-368|16|60|1|STA ALSEP, GEOPHONE|||
147-22565|22565|147|A|SO-368|16|60|1|STA ALSEP|||
147-22566|22566|147|A|SO-368|16|60|1|STA ALSEP|||
147-22567|22567|147|A|SO-368|16|60|1|STA ALSEP|||
147-22568|22568|147|A|SO-368|16|60|1|STA ALSEP|||
147-22569|22569|147|A|SO-368|16|60|1|STA ALSEP|||
147-22570|22570|147|A|SO-368|16|60|1|STA ALSEP|||
147-22571|22571|147|A|SO-368|16|60|1|STA ALSEP|||
147-22572|22572|147|A|SO-368|16|60|1|STA ALSEP|||
147-22573|22573|147|A|SO-368|16|60|1|STA ALSEP|||
147-22574|22574|147|A|SO-368|16|60|1|STA ALSEP|||
147-22575|22575|147|A|SO-368|16|60|1|STA ALSEP, LRV|||
147-22576|22576|147|A|SO-368|16|60|1|STA ALSEP, LRV|||
147-22577|22577|147|A|SO-368|16|60|1|STA ALSEP, LRV|||
