Bibcode|Year|Title|Authors|Publication|Volume|Issue|Page|Abstract|DOI|Samples
2013LPI....44.2887A|2013|Lutetium-Hafnium and Samarium-Neodymium Systematics of Apollo 17 Sample 78236: Age and the Importance of Thermal Neutron Fluence on the Lutetium-Hafnium System|Andreasen, R., Simmons, S. T., Righter, M., Lapen, T. J.|Lunar and Planetary Science Conference|44|1719|2887|||78236|
2013LPI....44.1567T|2013|Apatite in Granulite 79215: Geochemistry of a Lunar Metasomatic Fluid|Treiman, A. H., Boyce, J. W., Gross, J., Guan, Y., Eiler, J. M., Stolper, E. M.|Lunar and Planetary Science Conference|44|1719|1567|||79215|
|2012|Chromite symplectites in Mg-suite troctolite 76535 as evidence for infiltration metasomatism of a lunar layered intrusion|Elardo, S. M., McCubbin, F. M., and Shearer, C. K.|Geochimica et Cosmochimica Acta|87||154-177 |||76535|
|2012|The origin of chromite symplectites in lunar troctolite 76535: A new look at an old rock (abs)|Elardo, S. M., McCubbin, F. M., and Shearer, C. K.|Proceedings of the 43rd Lunar and Planetary Science Conference, ||||||76535|
|2012|Redetermination of the Sm-Nd age and initial Nd of Lunar troctolite 76535: Implications for the Lunar Crust development (abs)|Nyquist, L. E., Shih, C.-Y., and Reese, Y. D.|Proceedings of the 43rd Lunar and Planetary Science Conference, ||||||76535|
|2012|Trace element geochemistry of Apollo samples 78235: Potential connections with other Mg-suite norites (abs#2622)|Simmons, S. T. and Lapan, T. J.|Proceedings of the 43rd Lunar and Planetary Science Conference, ||||||78235|
|2012|SIMS Pb/Pb ages of baddeleyite and zirconolite in Apollo 17 norite 78235: Implications for shock histories of extraterrestrial rocks (abs#1038)|Zhang, A. C., Taylor, L. A., Wang, R. C., Li, Q. L., Li, Q. L., Patchen, A. D., and Liu, Y.|Proceedings of the 43rd Lunar and Planetary Science Conference, ||||||78235|
|2012|Abundant apatite in granulite 79215: Spoor of another volatile-rich lunar fluid (abs#1223)|Treiman, A. H. and Gross, J.|Proceedings of the 43rd Lunar and Planetary Science Conference, ||||||79215|
2012epsc.conf..297F|2012|Solar Reflectance Measurements of Apollo Lunar Soils|Foote, E., Paige, D., Shepard, M., Johnson, J., Grundy, W., Biggar, S., Greenhagen, B., Allen, C.|European Planetary Science Congress 2012|||EPSC2012|||70181|
2012LPI....43.2077D|2012|Crystal Stratigraphy of Olivine Cumulate 71597: Tracing the Crystallization History of a High-Ti Basalt Lava Flow|Donohue, P. H., Neal, C. R.|Lunar and Planetary Science Conference|43|1659|2077|||71597|
2012M&PS...47..120T|2012|Resolution of impact-related microstructures in lunar zircon: A shock-deformation mechanism map|Timms, Nicholas E., Reddy, Steven M., Healy, David, Nemchin, Alexander A., Grange, Marion L., Pidgeon, Robert T., Hart, Robert|Meteoritics and Planetary Science|47|1|120||http://dx.doi.org/10.1111/j.1945-5100.2011.01316.x|72215; 73215; 73235; 76295|
